Sequence_ID,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5
dataset_1_seq_1_CCPP,52,32,72,77,76
dataset_1_seq_2_CPCP,82,94,93,62,67
dataset_1_seq_3_CPPC,11,84,88,86,58
dataset_1_seq_4_PCCP,73,79,27,35,33
dataset_1_seq_5_PCPC,38,31,42,45,1
dataset_1_seq_6_PPCC,40,43,47,50,23
dataset_1_seq_7_CCPP,21,85,66,64,69
dataset_1_seq_8_CPCP,0,89,81,9,8
dataset_1_seq_9_CPPC,4,55,53,51,18
dataset_1_seq_10_PCCP,60,65,99,7,3
dataset_1_seq_11_PCPC,12,19,92,98,2
dataset_1_seq_12_PPCC,80,83,87,48,5
dataset_1_seq_13_CCPP,68,41,25,22,20
dataset_1_seq_14_CPCP,75,46,44,13,10
dataset_1_seq_15_CPPC,34,54,57,56,6
dataset_1_seq_16_PCCP,49,40,95,63,61
dataset_1_seq_17_PCPC,59,52,71,74,30
dataset_1_seq_18_PPCC,26,24,28,17,39
dataset_1_seq_19_CCPP,91,78,14,15,16
dataset_1_seq_20_PPCC,97,90,96,36,29
dataset_2_seq_1_CCPP,24,49,17,19,13
dataset_2_seq_2_CPCP,15,7,8,28,20
dataset_2_seq_3_CPPC,65,55,56,50,94
dataset_2_seq_4_PCCP,37,35,78,40,46
dataset_2_seq_5_PCPC,10,14,75,79,3
dataset_2_seq_6_PPCC,60,63,67,5,26
dataset_2_seq_7_CCPP,2,89,99,95,96
dataset_2_seq_8_CPCP,76,85,88,69,64
dataset_2_seq_9_CPPC,42,82,83,86,25
dataset_2_seq_10_PCCP,81,84,23,48,44
dataset_2_seq_11_PCPC,43,47,30,34,93
dataset_2_seq_12_PPCC,98,97,91,27,1
dataset_2_seq_13_CCPP,4,62,9,6,0
dataset_2_seq_14_CPCP,52,74,77,41,45
dataset_2_seq_15_CPPC,73,31,39,32,18
dataset_2_seq_16_PCCP,92,90,66,58,53
dataset_2_seq_17_PCPC,21,22,68,61,36
dataset_2_seq_18_PPCC,87,80,81,12,54
dataset_2_seq_19_CCPP,57,16,72,70,71
dataset_2_seq_20_PPCC,33,38,37,11,51
dataset_3_seq_1_CCPP,45,78,40,47,41
dataset_3_seq_2_CPCP,1,61,65,90,96
dataset_3_seq_3_CPPC,38,7,8,0,85
dataset_3_seq_4_PCCP,21,20,64,59,53
dataset_3_seq_5_PCPC,98,91,66,67,13
dataset_3_seq_6_PPCC,51,55,58,74,35
dataset_3_seq_7_CCPP,16,77,87,86,88
dataset_3_seq_8_CPCP,69,30,32,12,19
dataset_3_seq_9_CPPC,93,25,28,24,6
dataset_3_seq_10_PCCP,9,5,97,42,49
dataset_3_seq_11_PCPC,81,82,72,73,92
dataset_3_seq_12_PPCC,84,83,89,3,99
dataset_3_seq_13_CCPP,17,34,95,94,98
dataset_3_seq_14_CPCP,71,33,31,2,4
dataset_3_seq_15_CPPC,75,68,60,62,76
dataset_3_seq_16_PCCP,43,48,79,52,56
dataset_3_seq_17_PCPC,22,27,70,71,50
dataset_3_seq_18_PPCC,39,36,37,44,11
dataset_3_seq_19_CCPP,63,23,15,14,18
dataset_3_seq_20_PPCC,54,57,51,26,46
dataset_4_seq_1_CCPP,17,54,64,60,61
dataset_4_seq_2_CPCP,63,53,51,26,20
dataset_4_seq_3_CPPC,38,74,70,71,36
dataset_4_seq_4_PCCP,5,1,52,98,99
dataset_4_seq_5_PCPC,0,7,83,82,47
dataset_4_seq_6_PPCC,75,73,79,19,41
dataset_4_seq_7_CCPP,62,13,22,29,23
dataset_4_seq_8_CPCP,96,33,34,8,2
dataset_4_seq_9_CPPC,77,67,69,68,97
dataset_4_seq_10_PCCP,58,56,46,16,11
dataset_4_seq_11_PCPC,24,21,44,40,39
dataset_4_seq_12_PPCC,86,88,87,42,93
dataset_4_seq_13_CCPP,55,81,12,18,10
dataset_4_seq_14_CPCP,27,65,66,4,3
dataset_4_seq_15_CPPC,43,80,84,85,95
dataset_4_seq_16_PCCP,89,86,32,72,78
dataset_4_seq_17_PCPC,49,45,90,91,31
dataset_4_seq_18_PPCC,15,14,17,30,25
dataset_4_seq_19_CCPP,92,6,48,43,49
dataset_4_seq_20_PPCC,35,37,38,9,57
dataset_5_seq_1_CCPP,25,44,76,77,78
dataset_5_seq_2_CPCP,48,80,89,43,45
dataset_5_seq_3_CPPC,16,20,23,28,5
dataset_5_seq_4_PCCP,24,22,87,98,91
dataset_5_seq_5_PCPC,1,7,84,85,30
dataset_5_seq_6_PPCC,83,82,86,55,49
dataset_5_seq_7_CCPP,96,50,47,42,40
dataset_5_seq_8_CPCP,75,2,9,12,19
dataset_5_seq_9_CPPC,53,92,90,93,32
dataset_5_seq_10_PCCP,88,81,57,26,29
dataset_5_seq_11_PCPC,59,51,60,66,6
dataset_5_seq_12_PPCC,68,61,69,72,13
dataset_5_seq_13_CCPP,37,27,31,38,35
dataset_5_seq_14_CPCP,39,63,62,71,73
dataset_5_seq_15_CPPC,0,99,94,95,4
dataset_5_seq_16_PCCP,97,96,56,8,3
dataset_5_seq_17_PCPC,64,67,70,74,58
dataset_5_seq_18_PPCC,17,11,10,36,52
dataset_5_seq_19_CCPP,79,21,65,64,68
